label,text
spam,"URGENT NOTICE As the sole heir, you are entitled to a inheritance of $5000 from a distant relative. Reply with your bank details to proceed. This is not a scam, 100% legit and guaranteed!!!"
ham,"Hi all, Here's the invoice for laptop — total comes to $120. Let me know if you need it in a different format."
spam,"Limited Time Offer Your Apple ID password was reset. If this wasn't you, click below immediately to secure your account: http://account-verify.example.top"
spam,"Dear Beneficiary Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://bit.ly/free-cash-now For your security, verify now: http://secure-login-update.example.info"
ham,"Hey team, Your order of laptop has shipped and should arrive by Tuesday. You can track it using the link in your account. Appreciate it."
ham,"Hi all, Great meeting you at the conference! Would love to grab lunch and talk more about the marketing project sometime."
spam,"Hi there!!! Earn passive income of $10000/month with our proven system! No skills, no experience, just click below to start earning today! Offer expires in 24 hours, act fast!"
spam,"ACT NOW Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!!"
spam,"Dear Beneficiary Your package could not be delivered! Pay a redelivery fee of $2!99 immediately or your parcel will be returned: http://bit!ly/free-cash-now This is not a scam, 100% legit and guaranteed!!!"
ham,"Hi all, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Thanks!"
spam,"ATTENTION Refinance your mortgage today and SAVE thousands! Rates as low as 0.9% APR, approval guaranteed regardless of credit score. Reply IMMEDIATELY to claim."
ham,"Hey team, Here are my notes from today's standup — action items are highlighted at the bottom, due by next week. Thanks!"
spam,Dear Winner You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now.
ham,"Hey team, Just a reminder that our project review is scheduled for next week at 11:30 AM. Please let me know if that time doesn't work for you. Appreciate it."
spam,"Hello Valued Customer Invest in Ethereum today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! For your security, verify now: http://bit!ly/free-cash-now"
spam,Breaking: Lose 5kg in just 2 weeks with this ONE weird trick doctors don't want you to know about! Order your free trial now!
ham,"Hi Team, Attaching the contract for tomorrow's standup. Let me know if I missed anything before I send it to the client. Talk soon."
spam,GOOD NEWS This is your FINAL WARNING. Your Amazon Prime subscription has expired. Update your billing information now to avoid account closure. Click here now: http://secure-login-update.example.info
spam,Hello Valued Customer Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://account-verify.example.top Reply IMMEDIATELY to claim.
ham,"Hi John, Here's the invoice for Q3 roadmap — total comes to $899. Let me know if you need it in a different format. Let me know either way."
spam,"Dear Beneficiary Your Apple ID password was reset. If this wasn't you, click below immediately to secure your account: http://secure-login-update.example.info Limited spots available, don't miss out!"
ham,"Hi all, Just confirming our reservation at the downtown office for Wednesday at 9:00 AM. Looking forward to seeing everyone! Let me know either way."
ham,"Hi Team, The kids' school project is due on Tuesday, can you pick up some poster board on your way home tonight? Best,"
ham,"Hi, Just confirming our reservation at Marco's for next week at 10:00 AM. Looking forward to seeing everyone! Thanks!"
ham,"Hey, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Thanks!"
spam,"ATTENTION Lose 5kg in just 2 weeks with this ONE weird trick doctors don't want you to know about! Order your free trial now. Don't delay, click below to proceed."
ham,"Hello, I've attached the spreadsheet we discussed yesterday. Let me know if you have any questions or need changes before Friday. Thanks!"
ham,"Dear Priya, Just confirming our reservation at Marco's for next week at 11:30 AM. Looking forward to seeing everyone! Let me know either way."
ham,"Hi Team, Here are my notes from today's 1:1 — action items are highlighted at the bottom, due by Monday. Best,"
ham,"Hey, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great! Thanks!"
ham,"Hello, Quick question about the Q3 roadmap order — did it ship yet? Tracking still shows it's processing. Appreciate it."
ham,"Dear Priya, Happy birthday! Hope you have a wonderful day, let's catch up for coffee sometime next week if you're free. Best,"
spam,"Hello Valued Customer Refinance your mortgage today and SAVE thousands! Rates as low as 0!9% APR, approval guaranteed regardless of credit score! Reply IMMEDIATELY to claim!"
ham,"Hi John, Reminder: your dentist appointment is on Wednesday at 2:30 PM. Call the office if you need to reschedule. Let me know either way."
ham,"Hi John, Just a reminder that our budget meeting is scheduled for Monday at 9:00 AM. Please let me know if that time doesn't work for you."
spam,"Dear Beneficiary Your Netflix password was reset. If this wasn't you, click below immediately to secure your account: http://claim-your-prize.example.ru/verify This is not a scam, 100% legit and guaranteed!!!"
spam,CONGRATULATIONS!!! We noticed unusual sign-in activity on your account. Verify your identity now or your account will be permanently locked: http://bit.ly/free-cash-now Reply IMMEDIATELY to claim.
ham,"Hi, Your order of marketing has shipped and should arrive by Wednesday. You can track it using the link in your account."
spam,"Dear Beneficiary CLICK HERE to claim your free iPhone 15 Pro! Limited stock available, only 3 left, hurry before it's too late!!! Offer expires in 24 hours, act fast!"
spam,"Important Update Your package could not be delivered. Pay a redelivery fee of $2.99 immediately or your parcel will be returned: http://account-verify.example.top Limited spots available, don't miss out!"
spam,"You have been selected Hot singles in your area are waiting to chat with YOU right now! Click below for FREE access, no credit card required!!!"
spam,"CONGRATULATIONS!!! Your Apple ID password was reset! If this wasn't you, click below immediately to secure your account: http://claim-your-prize!example!ru/verify Reply IMMEDIATELY to claim!"
spam,"CONGRATULATIONS!!! CLICK HERE to claim your free iPhone 15! Limited stock available, only 3 left, hurry before it's too late!!! Reply IMMEDIATELY to claim."
spam,ATTENTION URGENT: Your tax refund of $1000000 is pending. Submit your social security number and banking info to release the funds.
spam,"Hi there!!! As the sole heir, you are entitled to a inheritance of $500 from a distant relative! Reply with your bank details to proceed! Reply IMMEDIATELY to claim!"
ham,"Hi, The kids' school project is due on next week, can you pick up some poster board on your way home tonight? Best,"
ham,"Dear Priya, Can you send over your availability for next week? Want to lock in time for the marketing kickoff. Let me know either way."
spam,"Breaking: As the sole heir, you are entitled to a inheritance of $10000 from a distant relative. Reply with your bank details to proceed. 100% risk free, cancel anytime."
ham,"Hi all, Reminder: your dentist appointment is on Friday at 9:00 AM. Call the office if you need to reschedule."
ham,"Hi Sarah, Reminder: your dentist appointment is on next week at 4:00 PM. Call the office if you need to reschedule. Let me know either way."
spam,"CONGRATULATIONS!!! Invest in a new crypto token today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! For your security, verify now: http://account-verify.example.top"
ham,"Hi all, Can we push our standup to Tuesday? Something came up on my end and I want to make sure I'm fully prepared. Best,"
ham,"Hi all, Attaching the design mockups for tomorrow's team sync. Let me know if I missed anything before I send it to the client. Talk soon."
spam,"CONGRATULATIONS!!! Make $500 per week working from home! No experience needed! Just send a small registration fee of $49 to get started TODAY! Don't delay, click below to proceed!"
spam,"ACT NOW CLICK HERE to claim your free iPhone 14! Limited stock available, only 3 left, hurry before it's too late!!! For your security, verify now: http://bit.ly/free-cash-now"
spam,"FINAL REMINDER Invest in a new crypto token today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! Reply IMMEDIATELY to claim!"
spam,"Hi there!!! Your Apple ID password was reset! If this wasn't you, click below immediately to secure your account: http://bit!ly/free-cash-now"
ham,"Hi all, Can we push our budget meeting to Thursday? Something came up on my end and I want to make sure I'm fully prepared. Let me know either way."
ham,"Good morning, Reminder: your dentist appointment is on Wednesday at 10:00 AM. Call the office if you need to reschedule. Best,"
ham,"Good morning, Following up on our call from earlier — I'll send the updated proposal by end of day tomorrow."
spam,"Dear Winner Earn passive income of $10000/month with our proven system. No skills, no experience, just click below to start earning today! Click here now: http://claim-your-prize.example.ru/verify"
ham,"Hey, Quick question about the office chairs order — did it ship yet? Tracking still shows it's processing. Best,"
spam,"Dear Winner You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now. Offer expires in 24 hours, act fast!"
spam,"Dear Beneficiary As the sole heir, you are entitled to a inheritance of $5000 from a distant relative. Reply with your bank details to proceed. Don't delay, click below to proceed."
spam,"ACT NOW Lose 15kg in just 2 weeks with this ONE weird trick doctors don't want you to know about! Order your free trial now. Limited spots available, don't miss out!"
spam,"Important Update Hot singles in your area are waiting to chat with YOU right now! Click below for FREE access, no credit card required!!! Offer expires in 24 hours, act fast!"
ham,"Hi, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Let me know either way."
ham,"Hi Sarah, Following up on our call from earlier — I'll send the updated meeting notes by end of day tomorrow. Let me know either way."
spam,"Hello Valued Customer CLICK HERE to claim your free iPhone 15! Limited stock available, only 3 left, hurry before it's too late!!! Reply IMMEDIATELY to claim."
spam,"Hello Valued Customer As the sole heir, you are entitled to a inheritance of $250000 from a distant relative! Reply with your bank details to proceed! 100% risk free, cancel anytime!"
ham,"Hey team, The kids' school project is due on Monday, can you pick up some poster board on your way home tonight?"
spam,"Hello Valued Customer As the sole heir, you are entitled to a inheritance of $5000 from a distant relative! Reply with your bank details to proceed! Click here now: http://secure-login-update!example!info"
spam,"GOOD NEWS Your package could not be delivered. Pay a redelivery fee of $2.99 immediately or your parcel will be returned: http://bit.ly/free-cash-now 100% risk free, cancel anytime."
ham,"Hi John, Quick question about the laptop order — did it ship yet? Tracking still shows it's processing."
ham,"Hi Sarah, Can you send over your availability for next week? Want to lock in time for the marketing kickoff."
ham,"Hi Team, Great meeting you at the conference! Would love to grab lunch and talk more about the marketing project sometime."
ham,"Hi all, Happy birthday! Hope you have a wonderful day, let's catch up for coffee sometime next week if you're free. Let me know either way."
ham,"Hi, Just confirming our reservation at the lake house for Friday at 2:30 PM. Looking forward to seeing everyone! Let me know either way."
spam,"You have been selected Refinance your mortgage today and SAVE thousands! Rates as low as 0.9% APR, approval guaranteed regardless of credit score. Limited spots available, don't miss out!"
spam,"Hello Valued Customer Your Amazon Prime password was reset. If this wasn't you, click below immediately to secure your account: http://secure-login-update.example.info 100% risk free, cancel anytime."
spam,"Hi there!!! URGENT: Your tax refund of $500 is pending! Submit your social security number and banking info to release the funds! This is not a scam, 100% legit and guaranteed!!!"
ham,"Hi Team, Loved catching up with you last night! We should plan that trip to the lake house soon, maybe over the long weekend. Best,"
ham,"Good morning, Quick question about the Q3 roadmap order — did it ship yet? Tracking still shows it's processing. Talk soon."
spam,FINAL REMINDER URGENT: Your tax refund of $1000 is pending. Submit your social security number and banking info to release the funds. Click here now: http://account-verify.example.top
ham,"Hi John, The kids' school project is due on Monday, can you pick up some poster board on your way home tonight? Talk soon."
spam,"You have been selected As the sole heir, you are entitled to a inheritance of $10000 from a distant relative. Reply with your bank details to proceed. 100% risk free, cancel anytime."
ham,"Hi Sarah, Happy birthday! Hope you have a wonderful day, let's catch up for coffee sometime next week if you're free."
ham,"Hi, Following up on our call from earlier — I'll send the updated spreadsheet by end of day tomorrow. Talk soon."
ham,"Hi all, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Let me know either way."
spam,"Important Update Invest in Bitcoin today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! 100% risk free, cancel anytime!"
ham,"Hey team, Quick question about the laptop order — did it ship yet? Tracking still shows it's processing."
spam,"Important Update Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!! Limited spots available, don't miss out!"
ham,"Hi Team, Here's the invoice for laptop — total comes to $120. Let me know if you need it in a different format."
spam,"Hi there!!! We noticed unusual sign-in activity on your account. Verify your identity now or your account will be permanently locked: http://secure-login-update.example.info Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"URGENT NOTICE Refinance your mortgage today and SAVE thousands! Rates as low as 0!9% APR, approval guaranteed regardless of credit score! Don't delay, click below to proceed!"
spam,URGENT NOTICE You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now! Reply IMMEDIATELY to claim!
ham,"Hi Team, Your order of website redesign has shipped and should arrive by next week. You can track it using the link in your account."
ham,"Hi John, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great! Talk soon."
ham,"Hi Team, I've attached the contract we discussed yesterday. Let me know if you have any questions or need changes before Friday."
ham,"Good morning, Great meeting you at the conference! Would love to grab lunch and talk more about the office chairs project sometime."
spam,"GOOD NEWS Your Amazon Prime password was reset. If this wasn't you, click below immediately to secure your account: http://account-verify.example.top Don't delay, click below to proceed."
spam,"You have been selected As the sole heir, you are entitled to a inheritance of $25000 from a distant relative! Reply with your bank details to proceed! Reply IMMEDIATELY to claim!"
spam,"Important Update You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now! Offer expires in 24 hours, act fast!"
spam,"Dear Winner As the sole heir, you are entitled to a inheritance of $250000 from a distant relative. Reply with your bank details to proceed. Don't delay, click below to proceed."
ham,"Hey team, Can we push our project review to Thursday? Something came up on my end and I want to make sure I'm fully prepared. Thanks!"
spam,Limited Time Offer We noticed unusual sign-in activity on your account. Verify your identity now or your account will be permanently locked: http://bit.ly/free-cash-now
spam,"Dear Beneficiary Make $25000 per week working from home! No experience needed! Just send a small registration fee of $49 to get started TODAY! Limited spots available, don't miss out!"
ham,"Hi, Your order of marketing has shipped and should arrive by next week. You can track it using the link in your account."
spam,"CONGRATULATIONS!!! Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://account-verify.example.top For your security, verify now: http://claim-your-prize.example.ru/verify"
ham,"Hi, Loved catching up with you last night! We should plan that trip to the lake house soon, maybe over the long weekend."
spam,"Dear Beneficiary CLICK HERE to claim your free iPhone 15 Pro! Limited stock available, only 3 left, hurry before it's too late!!!"
spam,"Hi there!!! As the sole heir, you are entitled to a inheritance of $10000 from a distant relative. Reply with your bank details to proceed. Offer expires in 24 hours, act fast!"
ham,"Hey, Can we push our team sync to Monday? Something came up on my end and I want to make sure I'm fully prepared."
ham,"Hi all, Your order of onboarding has shipped and should arrive by next week. You can track it using the link in your account."
ham,"Hello, Can you send over your availability for next week? Want to lock in time for the laptop kickoff."
ham,"Hey team, Can you send over your availability for next week? Want to lock in time for the onboarding kickoff."
ham,"Hi Team, Following up on our call from earlier — I'll send the updated meeting notes by end of day tomorrow. Appreciate it."
spam,"FINAL REMINDER Earn passive income of $5000/month with our proven system! No skills, no experience, just click below to start earning today! Click here now: http://claim-your-prize!example!ru/verify"
ham,"Hi Team, Following up on our call from earlier — I'll send the updated slide deck by end of day tomorrow."
spam,"Dear Winner Buy cheap painkillers online with 80% discount, no prescription needed! Fast, discreet shipping worldwide. Order now! Text STOP to unsubscribe (but hurry, offer ends soon)!"
ham,"Hey, Here's the invoice for website redesign — total comes to $120. Let me know if you need it in a different format. Thanks!"
ham,"Hello, Here are my notes from today's client call — action items are highlighted at the bottom, due by Friday. Talk soon."
spam,"You have been selected Hot singles in your area are waiting to chat with YOU right now! Click below for FREE access, no credit card required!!! Click here now: http://account-verify.example.top"
spam,"You have been selected Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://claim-your-prize.example.ru/verify Offer expires in 24 hours, act fast!"
ham,"Hi Sarah, Reminder: your dentist appointment is on Tuesday at 10:00 AM. Call the office if you need to reschedule. Appreciate it."
spam,"Breaking: Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://account-verify.example.top Offer expires in 24 hours, act fast!"
spam,CONGRATULATIONS!!! Make $500 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY.
spam,"You have been selected Invest in Ethereum today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! Reply IMMEDIATELY to claim."
ham,"Hi John, Here are my notes from today's budget meeting — action items are highlighted at the bottom, due by Tuesday. Let me know either way."
spam,"Hello Valued Customer Invest in Dogecoin today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! Click here now: http://claim-your-prize.example.ru/verify"
spam,"CONGRATULATIONS!!! Get a pre-approved loan of $1000 with ZERO credit check! Apply now, funds sent within 1 hour, no paperwork required! Click here now: http://claim-your-prize!example!ru/verify"
spam,"CONGRATULATIONS!!! Invest in Dogecoin today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! Limited spots available, don't miss out!"
ham,"Hey team, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great! Appreciate it."
ham,"Hey, Reminder: your dentist appointment is on Friday at 9:00 AM. Call the office if you need to reschedule."
spam,"Hello Valued Customer Get a pre-approved loan of $1000000 with ZERO credit check! Apply now, funds sent within 1 hour, no paperwork required. Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"FINAL REMINDER Hot singles in your area are waiting to chat with YOU right now! Click below for FREE access, no credit card required!!! For your security, verify now: http://account-verify.example.top"
ham,"Hey, The quarterly numbers are in — revenue is up 8% from last quarter, details are in the attached spreadsheet. Talk soon."
spam,"FINAL REMINDER Make $5000 per week working from home! No experience needed! Just send a small registration fee of $49 to get started TODAY! This is not a scam, 100% legit and guaranteed!!!"
spam,"URGENT NOTICE Invest in Dogecoin today and turn $100 into $10,000 in just 7 days!! Guaranteed returns, act before this offer closes! For your security, verify now: http://account-verify.example.top"
spam,"GOOD NEWS Earn passive income of $5000/month with our proven system. No skills, no experience, just click below to start earning today! 100% risk free, cancel anytime."
spam,"Hello Valued Customer We noticed unusual sign-in activity on your account! Verify your identity now or your account will be permanently locked: http://bit!ly/free-cash-now Limited spots available, don't miss out!"
ham,"Hey team, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great!"
spam,"Important Update You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now. Offer expires in 24 hours, act fast!"
spam,"URGENT NOTICE Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://account-verify.example.top Limited spots available, don't miss out!"
ham,"Hi John, Your order of office chairs has shipped and should arrive by Friday. You can track it using the link in your account. Best,"
ham,"Hello, Great meeting you at the conference! Would love to grab lunch and talk more about the Q3 roadmap project sometime."
spam,CONGRATULATIONS!!! Your package could not be delivered. Pay a redelivery fee of $2.99 immediately or your parcel will be returned: http://bit.ly/free-cash-now
ham,"Hi Team, Here are my notes from today's budget meeting — action items are highlighted at the bottom, due by Tuesday. Appreciate it."
ham,"Hey, Your order of office chairs has shipped and should arrive by Tuesday. You can track it using the link in your account. Thanks!"
ham,"Hi all, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great! Let me know either way."
ham,"Hi John, The kids' school project is due on Wednesday, can you pick up some poster board on your way home tonight?"
spam,Limited Time Offer You've been chosen for a FREE cruise to the Bahamas! Just pay a small processing fee of $99 to reserve your spot now!
spam,"Dear Beneficiary Get a pre-approved loan of $1000000 with ZERO credit check! Apply now, funds sent within 1 hour, no paperwork required. Don't delay, click below to proceed."
spam,"Dear Beneficiary Your Amazon Prime password was reset. If this wasn't you, click below immediately to secure your account: http://claim-your-prize.example.ru/verify Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"Important Update Buy cheap Xanax online with 80% discount, no prescription needed! Fast, discreet shipping worldwide! Order now! Click here now: http://secure-login-update!example!info"
spam,"Dear Beneficiary As the sole heir, you are entitled to a inheritance of $250000 from a distant relative. Reply with your bank details to proceed. Don't delay, click below to proceed."
spam,ATTENTION Make $25000 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. Reply IMMEDIATELY to claim.
spam,"Hi there!!! Make $25000 per week working from home! No experience needed! Just send a small registration fee of $49 to get started TODAY! For your security, verify now: http://account-verify!example!top"
ham,"Hello, The kids' school project is due on Monday, can you pick up some poster board on your way home tonight? Best,"
spam,"ATTENTION As the sole heir, you are entitled to a inheritance of $10000 from a distant relative. Reply with your bank details to proceed. Reply IMMEDIATELY to claim."
spam,"FINAL REMINDER Your Apple ID password was reset. If this wasn't you, click below immediately to secure your account: http://bit.ly/free-cash-now"
spam,"Hello Valued Customer Your account will be SUSPENDED unless you verify your password immediately. Click here to confirm your identity: http://secure-login-update.example.info Text STOP to unsubscribe (but hurry, offer ends soon)!"
ham,"Hi Team, Quick question about the marketing order — did it ship yet? Tracking still shows it's processing. Talk soon."
spam,"Hi there!!! Buy cheap weight-loss pills online with 80% discount, no prescription needed! Fast, discreet shipping worldwide. Order now!"
spam,"FINAL REMINDER Make $1000000 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. For your security, verify now: http://account-verify.example.top"
ham,"Good morning, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Thanks!"
spam,"FINAL REMINDER Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!! Don't delay, click below to proceed."
spam,"Hello Valued Customer Get a pre-approved loan of $1000 with ZERO credit check! Apply now, funds sent within 1 hour, no paperwork required. 100% risk free, cancel anytime."
spam,"Hi there!!! As the sole heir, you are entitled to a inheritance of $250000 from a distant relative. Reply with your bank details to proceed."
spam,"Breaking: Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!! Limited spots available, don't miss out!"
spam,"CONGRATULATIONS!!! Your email password was reset. If this wasn't you, click below immediately to secure your account: http://claim-your-prize.example.ru/verify Reply IMMEDIATELY to claim."
spam,"CONGRATULATIONS!!! As the sole heir, you are entitled to a inheritance of $25000 from a distant relative. Reply with your bank details to proceed. This is not a scam, 100% legit and guaranteed!!!"
spam,"You have been selected Your package could not be delivered! Pay a redelivery fee of $2!99 immediately or your parcel will be returned: http://claim-your-prize!example!ru/verify 100% risk free, cancel anytime!"
ham,"Dear Priya, Great meeting you at the conference! Would love to grab lunch and talk more about the laptop project sometime."
ham,"Hi Sarah, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great! Best,"
spam,"FINAL REMINDER Make $5000 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. For your security, verify now: http://account-verify.example.top"
spam,"ACT NOW CLICK HERE to claim your free iPhone 15! Limited stock available, only 3 left, hurry before it's too late!!! This is not a scam, 100% legit and guaranteed!!!"
ham,"Good morning, Here are my notes from today's budget meeting — action items are highlighted at the bottom, due by Monday."
spam,"URGENT NOTICE As the sole heir, you are entitled to a inheritance of $10000 from a distant relative. Reply with your bank details to proceed. 100% risk free, cancel anytime."
ham,"Good morning, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Best,"
ham,"Good morning, Quick question about the marketing order — did it ship yet? Tracking still shows it's processing."
ham,"Hello, Following up on our call from earlier — I'll send the updated slide deck by end of day tomorrow."
ham,"Hello, Great meeting you at the conference! Would love to grab lunch and talk more about the website redesign project sometime. Appreciate it."
ham,"Hi all, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Appreciate it."
ham,"Hi all, Loved catching up with you last night! We should plan that trip to Marco's soon, maybe over the long weekend."
ham,"Hi Sarah, Loved catching up with you last night! We should plan that trip to the lake house soon, maybe over the long weekend. Let me know either way."
spam,ACT NOW We noticed unusual sign-in activity on your account! Verify your identity now or your account will be permanently locked: http://claim-your-prize!example!ru/verify Reply IMMEDIATELY to claim!
ham,"Dear Priya, Just confirming our reservation at the lake house for Thursday at 4:00 PM. Looking forward to seeing everyone! Thanks!"
ham,"Hi all, Just confirming our reservation at the downtown office for Monday at 2:30 PM. Looking forward to seeing everyone! Talk soon."
spam,"Important Update Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!! Reply IMMEDIATELY to claim."
spam,"Hello Valued Customer Your package could not be delivered! Pay a redelivery fee of $2!99 immediately or your parcel will be returned: http://claim-your-prize!example!ru/verify For your security, verify now: http://secure-login-update!example!info"
spam,"GOOD NEWS Your package could not be delivered. Pay a redelivery fee of $2.99 immediately or your parcel will be returned: http://secure-login-update.example.info For your security, verify now: http://claim-your-prize.example.ru/verify"
ham,"Hey team, Your order of onboarding has shipped and should arrive by Friday. You can track it using the link in your account. Best,"
ham,"Hi John, Just confirming our reservation at the lake house for Monday at 4:00 PM. Looking forward to seeing everyone!"
ham,"Hi John, Here are my notes from today's team sync — action items are highlighted at the bottom, due by next week. Talk soon."
spam,"FINAL REMINDER Your account will be SUSPENDED unless you verify your password immediately! Click here to confirm your identity: http://account-verify!example!top Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"Hi there!!! Make $5000 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. Don't delay, click below to proceed."
spam,"Hello Valued Customer Get a pre-approved loan of $25000 with ZERO credit check! Apply now, funds sent within 1 hour, no paperwork required."
ham,"Hi all, Thanks for sending over the report. I reviewed it and left a few comments in the shared doc. Overall looks great!"
ham,"Hi all, Happy birthday! Hope you have a wonderful day, let's catch up for coffee sometime next week if you're free."
ham,"Hello, Can we push our standup to Tuesday? Something came up on my end and I want to make sure I'm fully prepared. Thanks!"
spam,"Limited Time Offer URGENT: Your tax refund of $1000000 is pending. Submit your social security number and banking info to release the funds. For your security, verify now: http://bit.ly/free-cash-now"
spam,"FINAL REMINDER Meet gorgeous women near you tonight! Sign up FREE, no strings attached, thousands of members online right now!!! Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"Important Update Refinance your mortgage today and SAVE thousands! Rates as low as 0.9% APR, approval guaranteed regardless of credit score. This is not a scam, 100% legit and guaranteed!!!"
